pageid,chaxunid,name
,531,插屏拆快递-盒子滑动
,530,插屏拆快递-盒子扭动
,524,插屏-互动动效
,523,插屏增加点击关闭能力
,518,插屏-新合规弹窗
,462,插屏原生直播广告
,451,合规-素材区域点击立即下载
,442,合规-素材区域点击弹出合规弹窗
,437,合规-非actionBar区域点击弹出合规弹窗
,432,合规-非actionBar区域点击立即下载
,427,合规-actionBar区域点击弹出合规弹窗
,426,合规-actionBar区域点击立即下载
,408,下载类倒计时激活
,378,插屏动态卡
,375,插屏扭动组合适配异形卡样式
,349,小程序直跳
,344,小程序建站跳
,315,电商行业模版-插屏
,280,插屏-气泡雨
,264,插屏-h5直出样式
,263,插屏-惊喜盒子
,242,结束页扭一扭
,241,插屏-摇一摇样式
,240,插屏异形卡样式2
,239,插屏异形卡样式一
,237,插屏定制化样式--奖品样式
,234,插屏-自动拉活
,233,插屏-pec
,232,插屏-pec
,231,插屏-挂件+红包雨
,230,插屏-挂件
,229,插屏-扭一扭非沉浸式展示
,228,插屏-扭一扭沉浸式展示
,227,插屏-扭动摇动组合能力叠加
,226,插屏-扭动摇动组合能力叠加
,225,插屏-彩蛋动效-直接跳结束页展示
,224,插屏-彩蛋动效
,223,插屏tk红包雨
,222,插屏tkpec样式二
,221,插屏pec样式一tk图片
,179,广告跳转-二次确认-开启
,171,直播剪裁特定ruleid-展示进入直播间
,137,直播剪裁类广告
,134,老链路-聚合大转盘
,129,进入大转盘页面逻辑
,124,新链路-挽留弹窗-落地页进入大转盘入口
,114,引流直播广告
,85,涨粉类广告-优化目标：快速涨粉941
,83,涨粉类广告-优化目标：涨粉72
,80,插屏订单: 推荐样式
,79,插屏订单：优惠券样式
,78,插屏订单：销量信息样式
,77,插屏订单：限时秒杀样式
,76,插屏订单：价格绝对值样式
,75,订单类广告-营销目标ROI（192）
,72,订单类广告-营销目标:订单支付（395）
