pageid,chaxunid,name
,527,订单-新actionbar样式
,526,短视频订单-挽留弹窗定制样式
,519,激励-新合规弹窗
,517,激励任务卡片奖励--图文 
,516,激励场景点击转化奖励任务-视频
,514,图文618扭蛋机样式2奖励卡片（共2个样式）
,512,图文618扭蛋机样式1优惠券（共2个样式）
,509,激励618扭蛋机样式2奖励卡片（共2个样式）
,508,激励618扭蛋机样式1优惠券（共2个样式）
,505,衍生素材
,494,激励场景卡片动态效果-前倾动效
,493,激励场景卡片动态效果-呼吸动效 
,492,激励直播-社交弹窗
,491,激励图文-社交弹窗
,489,激励-社交类广告弹窗
,487,激励-下载类广告定制样式
,478,直播-仅优惠券弹窗
,476,直播-仅优惠卡片
,474,直播-优惠券卡片+弹窗
,473,剪裁-仅优惠券弹窗
,472,剪裁-仅优惠卡
,470,剪裁-优惠券卡片+弹窗
,469,引流-仅优惠券弹窗
,468,引流-优惠券卡片
,467,引流-优惠券卡片+弹窗
,465,订单播放页商品弹窗
,464,激励图文手势滑动
,463,激励图文光波
,460,剪裁结束页主播卡
,459,引流结束页商品卡
,457,直播流-气氛挂件+红包雨
,452,直播流-红包雨
,448,合规-素材区域点击立即下载
,445,合规-素材区域点击弹出合规弹窗
,440,合规-非actionBar区域点击弹出合规弹窗
,435,合规-非actionBar区域点击立即下载
,430,合规-actionBar区域点击弹出合规弹窗
,423,合规-actionBar区域点击立即下载
,419,剪裁-结束页-商品卡
,417,剪裁-结束页优选-有动效
,415,剪裁-结束页优选-无动效样式
,405,下载类倒计时激活
,395,15全元素弧形引导卡【只有非下载类竖版展示】
,394,14无元素弧形引导卡【只有非下载类竖版展示】
,393,13弱引导渐变卡
,392,12全程弱引导卡
,390,激励直播福利卡非网赚
,388,激励直播福利卡网赚
,386,激励图文福利卡非网赚
,384,激励图文福利卡网赚
,383,激励福利卡非网赚
,382,激励福利卡网赚
,370,互动翻卡-live-优惠券
,368,互动翻卡-live-权益卡
,367,互动翻卡-live-商品卡
,364,互动翻卡-image-优惠卡
,362,互动翻卡-image-权益卡
,360,互动翻卡-image-商品卡
,359,互动翻卡-neo-优惠卷
,358,互动翻卡（neo）-权益卡
,357,互动翻卡（neo）-商品卡
,356,激励图文翻卡互动(游戏)
,355,激励翻卡互动(游戏)
,346,小程序直跳
,340,小程序建站跳
,339,激励半屏播放替换素材
,338,激励轻互动样式
,336,激励-惊喜盒子
,321,live-惊喜盒子
,319,图文-惊喜盒子
,318,激励支持应用直投前置2
,316,激励不支持应用直投前置2
,313,电商行业模版-直播
,311,电商行业模版-图文
,309,电商行业模版-视频-激励
,308,激励浏览
,307,激励-半屏播放+红包雨
,306,激励-半屏播放+挂件
,305,激励-半屏播放+自动拉活
,304,激励-半屏播放+摇一摇
,303,激励-半屏播放+扭一扭
,302,激励-红包雨+摇一摇
,301,激励-红包雨+扭一扭
,300,激励-权益卡片+扭一扭+自动拉活
,299,激励-权益卡片+摇一摇+自动拉活
,298,激励-权益卡片+挂件
,297,激励-pec权益卡片现金权益
,296,激励-pec权益卡片非现金权益
,295,激励-扭一扭+自动拉活
,294,激励-摇一摇+自动拉活
,293,激励-红包雨+挂件
,292,激励-图文挂件
,291,激励图片红包雨+挂件
,290,激励图片红包雨
,289,激励图文扭一扭拉活
,287,激励图文摇一摇拉活
,286,激励-图文摇一摇
,285,激励-挂件
,284,直播流-气泡雨
,281,图文-气泡雨
,277,激励-气泡雨
,276,激励奖励卡片
,275,激励支持应用直投前置
,273,激励表单前置
,272,获得奖励后不展示挽留弹窗
,271,获得奖励后展示挽留弹窗
,270,奖励前新挽留弹窗下载类
,269,奖励前新挽留弹窗非下载类
,268,奖励前老挽留弹窗10可转化
,267,奖励前老挽留弹窗9不可转化
,266,激励-半屏播放
,265,激励图文样式
,259,激励-轻互动-上下左右手势滑动
,258,激励-push广告
,257,激励-聚合浏览
,256,激励-结束页晃动样式2
,255,激励-结束页晃动样式1
,254,激励-结束页晃动判断条件2
,253,激励-结束页晃动判断条件1
,252,激励-摇一摇样式
,251,激励-图文自动拉活拉活
,250,激励-视频拉活mddle模版
,248,激励-视频拉活右下两行文案
,247,激励-视频拉活右上一行文案
,246,激励-视频拉活右上两行文案
,245,激励-视频自动拉活
,244,激励-互动新玩法样式3
,243,激励-互动新玩法样式2
,236,激励-红包雨
,235,激励互动新玩法样式1
,186,原生直播endcardtype94-97
,184,原生直播endCardNewStyle 62
,182,原生直播类广告
,180,原生直播-播放页样式二-cardtype8
,176,广告跳转-二次确认-开启
,173,挽留弹窗 -内循环结束页-聚合卡
,172,内循环-仅挽留弹窗出现-聚合卡片
,170,直播剪裁特定ruleid-展示进入直播间
,164,订单-挽留弹窗-老样式
,163,(结束页&挽留弹窗)-内循环聚合卡-一次广告
,162,挽留弹窗-聚合卡片-二次广告
,161,激励播放页手势live模版
,160,激励播放页手势滑动
,158,订单-结束页优选-endacard68-72
,156,订单-结束页优选-endacard63-67
,154,原生直播类广告-cardtype7
,152,直播推广-结束页商品卡
,150,原生直播结束页主播卡
,148,引流-结束页-主播卡
,147,剪裁 -直播推广-结束页主播样式
,144,剪裁&引流-结束页优选-endCardNewStyle86-89
,142,直播剪裁&引流-结束页优选-endCardNewStyle60
,141,剪裁-激励-挽留弹窗主播样式
,140,剪裁-激励-挽留弹窗-老样式
,138,激励-直播剪裁定制化样式
,135,直播剪裁类广告
,131,老链路-聚合大转盘
,126,进入大转盘页面逻辑
,121,新链路-挽留弹窗-落地页进入大转盘入口
,118,引流-激励-挽留弹窗-老样式
,116,引流直播-激励-定制化样式
,113,引流直播广告
,111,激励扭一扭
,110,直接展示落地页
,109,激励播放页push
,108,激励TK播放页cardType4
,107,激励TK播放页cardType3
,106,激励TK播放页cardType-2
,105,激励TK播放页cardType-1
,104,激励TK播放页cardType-0
,101,预约-激励-结束页优选 -endCardNewStyle74
,100,预约-结束页endCardNewStyle73
,98,预约-激励挽留弹窗-定制化老样式
,94,预约类广告- 优化目标：行为数2
,91,涨粉-激励-结束页优选-endCardNewStyle61
,90,涨粉-结束页-endCardNewStyle90-93
,88,涨粉激励 -挽留弹窗-得奖励后点击跳过出老弹窗-TK
,87,涨粉-激励定制化样式-播放页
,84,涨粉类广告-优化目标：快速涨粉941
,81,涨粉类广告-优化目标：涨粉72
,73,订单类广告-营销目标ROI（192）
,70,订单类广告-营销目标:订单支付（395）
