pageid,chaxunid,name
,543,开屏年货节扭摇定制-普通扭动
,542,开屏年货节扭摇定制-扭动组合
,541,开屏双11扭摇定制样式
,539,开屏扭摇升级
,521,开屏-新合规弹窗
,507,开屏618扭摇定制样式2（共2个样式）
,506,开屏618扭摇定制样式1（共2个样式）
,504,衍生素材
,486,开屏静态actbar样式出现逻辑调整
,461,开屏-展示跳过按钮
,450,合规-素材区域点击立即下载
,443,合规-素材区域点击弹出合规弹窗
,438,合规-非actionBar区域点击弹出合规弹窗
,433,合规-非actionBar区域点击立即下载
,428,合规-actionBar区域点击弹出合规弹窗
,425,合规-actionBar区域点击立即下载
,404,开屏结束页可点区域扩展
,403,开屏小程序建站跳
,402,开屏小程序直跳
,401,转化链路-直达链接deeplink
,400,转化链路-落地页
,399,转化链路-应用市场下载
,398,转化链路-普通下载（非应用市场）
,397,开屏结束页下载中删除能力
,396,开屏播放页下载中删除能力
,376,开屏结束页支持扭动滑动
,374,开屏增加动态模版
,373,开屏单actbar动效子样式(合规)
,372,开屏滑动+actionbar组合样式(合规)
,337,开屏-惊喜盒子
,317,电商行业弹窗-开屏
,279,开屏-气泡雨
,190,开屏结束页-actionbar
,174,广告跳转-二次确认-开启
,128,进入大转盘页面逻辑
,123,新链路-挽留弹窗-落地页进入大转盘入口
,62,开屏-红包雨
,27,开屏摇动/滑动组合-上滑黑样式TK渲染
,26,开屏摇动/滑动组合-上滑白样式TK渲染
,25,开屏摇动/滑动组合-基础拼接样式TK渲染
,24,开屏摇动/滑动组合-突出摇一摇TK渲染
,23,开屏扭动/滑动组合-形变卡样式TK渲染
,22,开屏扭动/滑动组合-圆弧卡样式TK渲染
,21,开屏扭动/滑动组合-仅扭一扭样式TK渲染
,20,开屏扭动/滑动组合-大ACTIONBAR样式TK渲染
,19,开屏扭动/滑动组合-小ACTIONBAR样式-TK渲染
,18,开屏扭动/滑动组合-拼接样式TK渲染
,17,开屏扭动/滑动组合-白背景TK渲染
,16,开屏扭动/滑动组合-黑背景TK渲染
,15,开屏ACTIONBAR样式TK渲染
,14,开屏滑动样式TK渲染
,13,开屏摇动样式TK渲染
,8,开屏扭动样式TK渲染
