pageid,chaxunid,name
,540,晃动
,528,订单-新actionbar
,520,全屏-新合规弹窗
,515,图文618扭蛋机样式2奖励卡片（共2个样式）
,513,图文618扭蛋机样式1优惠券（共2个样式）
,511,全屏618扭蛋机样式2奖励卡片（共2个样式）
,510,全屏618扭蛋机样式1优惠券（共2个样式）
,495,全屏图文-社交弹窗
,490,全屏-社交弹窗
,488,全屏-下载类新增样式
,485,剪裁-仅优惠券弹窗
,484,剪裁-仅优惠券卡片
,483,剪裁-优惠券卡+弹窗
,482,引流-仅优惠券弹窗
,481,引流-仅优惠券卡片
,480,引流-优惠券卡片+弹窗
,479,直播-仅优惠券弹窗
,477,直播-仅优惠卡片
,475,直播-优惠券卡片+弹窗
,466,订单播放页商品弹窗
,458,直播流-气氛挂件+红包雨
,456,直播流-气泡雨
,454,直播流-摇一摇
,453,直播流-红包雨
,449,合规-素材区域点击立即下载
,444,合规-素材区域点击弹出合规弹窗
,439,合规-非actionBar区域点击弹出合规弹窗
,434,合规-非actionBar区域点击立即下载
,429,合规-actionBar区域点击弹出合规弹窗
,424,合规-actionBar区域点击立即下载
,421,全屏视频素材-自动拉活
,420,剪裁-结束页-商品卡
,418,剪裁-结束页优选-有动效
,416,剪裁-结束页优选-无动效样式
,414,引流-结束页-商品卡
,413,互动翻卡-image-默认卡
,412,互动翻卡-fullscreen-默认卡
,411,互动翻卡-fullscreen-优惠卡
,410,互动翻卡-fullscreen-权益卡
,409,全屏-下载中删除能力
,406,下载类倒计时激活
,391,全屏直播福利卡非网赚
,389,全屏直播福利卡网赚
,379,互动翻卡-fullscreen-商品卡
,371,互动翻卡-live-优惠券
,369,互动翻卡-live-权益卡
,366,互动翻卡-live-商品卡
,365,互动翻卡-image-优惠卡
,363,互动翻卡-image-权益卡
,361,互动翻卡-image-商品卡
,354,全屏图文翻卡互动(游戏)-图文
,353,全屏翻卡互动(游戏)
,352,全屏应用直投前置
,347,小程序直跳
,341,小程序建站跳
,335,全屏-惊喜盒子
,322,live-惊喜盒子
,320,图文-惊喜盒子
,314,电商行业模版-直播
,312,电商行业模版-图文
,310,电商行业弹窗-视频-全屏
,282,图文-气泡雨
,278,全屏-气泡雨
,201,全屏扭一扭-图片素材
,198,气氛挂件+红包雨(图片)
,197,气氛挂件+红包雨(视频)
,196,表单前置-仅点击跳过出前置落地页
,195,表单前置-仅播放结束出前置落地页
,194,表单前置-点击跳过或者视频播放结束都出前置落地页
,193,结束页扭摇-样式B
,192,结束页扭摇-样式A
,189,原生直播-播放页样式二-cardtype7
,188,原生直播-播放页样式二-cardtype8
,187,原生直播endcardtype94-97
,185,原生直播endCardNewStyle 62
,181,原生直播类广告
,175,广告跳转-二次确认-开启
,169,直播剪裁特定ruleid-展示进入直播间
,168,预约-全屏-结束页-有动效果
,159,订单-结束页优选-有动效
,157,订单-结束页优选-无动效
,153,原生直播-结束页商品卡
,151,原生直播结束页主播卡
,149,引流-结束页-主播卡
,146,剪裁 -结束页主播样式
,145,引流-结束页优选-有动效
,143,引流-结束页优选-无动效样式
,139,全屏直播剪裁定制化样式
,127,进入大转盘页面逻辑
,122,新链路-挽留弹窗-落地页进入大转盘入口
,117,引流直播-全屏-定制化样式
,112,引流直播广告
,102,预约-全屏-结束页优选-无动效
,97,预约全屏定制化样式
,96,涨粉-全屏定制化样式-播放页
,93,涨粉-全屏-结束页优选-无动画效果
,92,涨粉-全屏-结束页优选-有动画效果
,86,涨粉类广告-优化目标：快速涨粉941
,82,涨粉类广告-优化目标：涨粉72
,74,订单类广告-营销目标ROI（192）
,71,订单类广告-营销目标:订单支付（395）
,69,全屏视频素材-红包雨-TK渲染
,64,竖版图片
,63,横版图片
,61,全屏-push广告
,60,全屏图片素材-样式二-TK渲染
,49,全屏图片素材-样式一-TK渲染
,48,全屏图片素材-摇一摇-TK渲染
,47,全屏图片素材-红包雨-TK渲染
,43,全屏图片素材-自动拉活-TK渲染
,42,全屏扭一扭-TK渲染
,39,全屏PEC卡片样式二-TK渲染
,38,全屏PEC卡片样式一-TK渲染
,33,全屏摇一摇-TK渲染
,32,全屏-底部沉浸大卡样式-TK渲染
,31,全屏-底部沉浸小卡样式-TK渲染
,30,全屏-底部渐变卡片样式-TK渲染
,29,全屏-底部基础改小卡样式-TK渲染
,28,全屏-底部基础卡片样式-TK渲染
