pageid,chaxunid,name
313000000001,587,redpacket-l-rotate-combo-special
313000000002,588,redpacket-l-rotate-combo-rect
313000000003,589,redpacket-l-shake-combo-special
313000000004,590,redpacket-l-shake-combo-rect
313000000005,591,redpacket-l-normal-special
313000000006,592,redpacket-l-normal-rect
313000000007,593,redpacket-l-normal-rect-horizontal-2
313000000008,594,redpacket-l-normal-rect-horizontal-3
313000000009,595,redpacket-l-industry-redpacket-normal
313000000010,596,redpacket-l-industry-redpacket-shake
313000000011,597,redpacket-l-industry-redpacket-rotate
313000000012,598,redpacket-l-live-rotate
313000000013,599,redpacket-l-live-shake
313000000014,600,redpacket-l-live-normal
313000000015,601,redpacket-l-sample-live-rotate
313000000016,602,redpacket-l-sample-live-shake
313000000017,603,redpacket-l-sample-live-normal
313000000018,604,redpacket-r-rotate-combo-special
313000000019,605,redpacket-r-rotate-combo-rect
313000000020,606,redpacket-r-shake-combo-special
313000000021,607,redpacket-r-shake-combo-rect
313000000022,608,redpacket-r-normal-special
313000000023,609,redpacket-r-normal-rect
313000000024,610,redpacket-r-normal-rect-horizontal-2
313000000025,611,redpacket-r-normal-rect-horizontal-3
313000000026,612,redpacket-r-industry-redpacket-normal
313000000027,613,redpacket-r-industry-redpacket-shake
313000000028,614,redpacket-r-industry-redpacket-rotate
313000000029,615,redpacket-r-live-rotate
313000000030,616,redpacket-r-live-shake
313000000031,617,redpacket-r-live-normal
313000000032,618,redpacket-r-sample-live-rotate
313000000033,619,redpacket-r-sample-live-shake
313000000034,620,redpacket-r-sample-live-normal
313000000035,621,bubble-l-rotate-combo-special
313000000036,622,bubble-l-rotate-combo-rect
313000000037,623,bubble-l-shake-combo-special
313000000038,624,bubble-l-shake-combo-rect
313000000039,625,bubble-l-normal-special
313000000040,626,bubble-l-normal-rect
313000000041,627,bubble-l-normal-rect-horizontal-2
313000000042,628,bubble-l-normal-rect-horizontal-3
313000000043,629,bubble-l-industry-redpacket-normal
313000000044,630,bubble-l-industry-redpacket-shake
313000000045,631,bubble-l-industry-redpacket-rotate
313000000046,632,bubble-l-live-rotate
313000000047,633,bubble-l-live-shake
313000000048,634,bubble-l-live-normal
313000000049,635,bubble-l-sample-live-rotate
313000000050,636,bubble-l-sample-live-shake
313000000051,637,bubble-l-sample-live-normal
313000000052,638,bubble-r-rotate-combo-special
313000000053,639,bubble-r-rotate-combo-rect
313000000054,640,bubble-r-shake-combo-special
313000000055,641,bubble-r-shake-combo-rect
313000000056,642,bubble-r-normal-special
313000000057,643,bubble-r-normal-rect
313000000058,644,bubble-r-normal-rect-horizontal-2
313000000059,645,bubble-r-normal-rect-horizontal-3
313000000060,646,bubble-r-industry-redpacket-normal
313000000061,647,bubble-r-industry-redpacket-shake
313000000062,648,bubble-r-industry-redpacket-rotate
313000000063,649,bubble-r-live-rotate
313000000064,650,bubble-r-live-shake
313000000065,651,bubble-r-live-normal
313000000066,652,bubble-r-sample-live-rotate
313000000067,653,bubble-r-sample-live-shake
313000000068,654,bubble-r-sample-live-normal
313000000069,655,caidan-l-rotate-combo-special
313000000070,656,caidan-l-rotate-combo-rect
313000000071,657,caidan-l-shake-combo-special
313000000072,658,caidan-l-shake-combo-rect
313000000073,659,caidan-l-normal-special
313000000074,660,caidan-l-normal-rect
313000000075,661,caidan-l-normal-rect-horizontal-2
313000000076,662,caidan-l-normal-rect-horizontal-3
313000000077,663,caidan-l-industry-redpacket-normal
313000000078,664,caidan-l-industry-redpacket-shake
