pageid,chaxunid,name
304000000001,289,redpacket-cl-rotate-combo-35
304000000002,290,redpacket-cl-rotate-combo-34
304000000003,291,redpacket-cl-rotate-combo-33
304000000004,292,redpacket-cl-rotate-combo-32
304000000005,293,redpacket-cl-rotate-combo-31
304000000006,294,redpacket-cl-rotate-combo-2
304000000007,295,redpacket-cl-rotate-combo-1
304000000008,296,redpacket-cl-rotate-combo-37-custom-1
304000000009,297,redpacket-cl-rotate-combo-37-custom-2
304000000010,298,redpacket-cl-normal-rotate
304000000011,299,redpacket-cl-shake-combo-3
304000000012,300,redpacket-cl-normal-shake
304000000013,301,redpacket-cl-slide-click-combined
304000000014,302,redpacket-cl-normal-slide-gesture
304000000015,303,redpacket-cl-click-cycle
304000000016,304,redpacket-cl-click-hand
304000000017,305,redpacket-cl-static-actionbar
304000000018,306,redpacket-ol-rotate-combo-35
304000000019,307,redpacket-ol-rotate-combo-34
304000000020,308,redpacket-ol-rotate-combo-33
304000000021,309,redpacket-ol-rotate-combo-32
304000000022,310,redpacket-ol-rotate-combo-31
304000000023,311,redpacket-ol-rotate-combo-2
304000000024,312,redpacket-ol-rotate-combo-1
304000000025,313,redpacket-ol-rotate-combo-37-custom-1
304000000026,314,redpacket-ol-rotate-combo-37-custom-2
304000000027,315,redpacket-ol-normal-rotate
304000000028,316,redpacket-ol-shake-combo-3
304000000029,317,redpacket-ol-normal-shake
304000000030,318,redpacket-ol-slide-click-combined
304000000031,319,redpacket-ol-normal-slide-gesture
304000000032,320,redpacket-ol-click-cycle
304000000033,321,redpacket-ol-click-hand
304000000034,322,redpacket-ol-static-actionbar
304000000035,323,redpacket-cr-rotate-combo-35
304000000036,324,redpacket-cr-rotate-combo-34
304000000037,325,redpacket-cr-rotate-combo-33
304000000038,326,redpacket-cr-rotate-combo-32
304000000039,327,redpacket-cr-rotate-combo-31
304000000040,328,redpacket-cr-rotate-combo-2
304000000041,329,redpacket-cr-rotate-combo-1
304000000042,330,redpacket-cr-rotate-combo-37-custom-1
304000000043,331,redpacket-cr-rotate-combo-37-custom-2
304000000044,332,redpacket-cr-normal-rotate
304000000045,333,redpacket-cr-shake-combo-3
304000000046,334,redpacket-cr-normal-shake
304000000047,335,redpacket-cr-slide-click-combined
304000000048,336,redpacket-cr-normal-slide-gesture
304000000049,337,redpacket-cr-click-cycle
304000000050,338,redpacket-cr-click-hand
304000000051,339,redpacket-cr-static-actionbar
304000000052,340,redpacket-or-rotate-combo-35
304000000053,341,redpacket-or-rotate-combo-34
304000000054,342,redpacket-or-rotate-combo-33
304000000055,343,redpacket-or-rotate-combo-32
304000000056,344,redpacket-or-rotate-combo-31
304000000057,345,redpacket-or-rotate-combo-2
304000000058,346,redpacket-or-rotate-combo-1
304000000059,347,redpacket-or-rotate-combo-37-custom-1
304000000060,348,redpacket-or-rotate-combo-37-custom-2
304000000061,349,redpacket-or-normal-rotate
304000000062,350,redpacket-or-shake-combo-3
304000000063,351,redpacket-or-normal-shake
304000000064,352,redpacket-or-slide-click-combined
304000000065,353,redpacket-or-normal-slide-gesture
304000000066,354,redpacket-or-click-cycle
304000000067,355,redpacket-or-click-hand
304000000068,356,redpacket-or-static-actionbar
304000000069,357,bubble-cl-rotate-combo-35
304000000070,358,bubble-cl-rotate-combo-34
304000000071,359,bubble-cl-rotate-combo-33
304000000072,360,bubble-cl-rotate-combo-32
304000000073,361,bubble-cl-rotate-combo-31
304000000074,362,bubble-cl-rotate-combo-2
304000000075,363,bubble-cl-rotate-combo-1
304000000076,364,bubble-cl-rotate-combo-37-custom-1
304000000077,365,bubble-cl-rotate-combo-37-custom-2
304000000078,366,bubble-cl-normal-rotate
304000000079,367,bubble-cl-shake-combo-3
304000000080,368,bubble-cl-normal-shake
304000000081,369,bubble-cl-slide-click-combined
304000000082,370,bubble-cl-normal-slide-gesture
304000000083,371,bubble-cl-click-cycle
304000000084,372,bubble-cl-click-hand
304000000085,373,bubble-cl-static-actionbar
304000000086,374,bubble-ol-rotate-combo-35
304000000087,375,bubble-ol-rotate-combo-34
304000000088,376,bubble-ol-rotate-combo-33
304000000089,377,bubble-ol-rotate-combo-32
304000000090,378,bubble-ol-rotate-combo-31
304000000091,379,bubble-ol-rotate-combo-2
304000000092,380,bubble-ol-rotate-combo-1
304000000093,381,bubble-ol-rotate-combo-37-custom-1
304000000094,382,bubble-ol-rotate-combo-37-custom-2
304000000095,383,bubble-ol-normal-rotate
304000000096,384,bubble-ol-shake-combo-3
